Incident ID	Incident Date	State	City Or County	Address	# Killed	# Injured	Operations	Incidence type
1843416	November 4, 2020	Ohio	Cleveland	3200 block of W 54th St	0	1		children
1842860	November 3, 2020	Pennsylvania	Philadelphia	1800 block of N 6th St	0	1		children
1841102	November 2, 2020	Mississippi	Senatobia	Line St	0	1		children
1841831	November 2, 2020	Oregon	Redmond	2300 block of SW 20th Ct	0	1		children
1839597	October 31, 2020	Alabama	Birmingham	1600 Montclair Rd	0	1		children
1839663	October 31, 2020	New York	New York (Manhattan)	130 Lenox Ave	0	3		children
1839172	October 30, 2020	California	San Mateo	1600 block of Eleanor Dr	1	1		children
1839124	October 30, 2020	Missouri	Saint Louis	I-70 and Kingshighway Blvd	0	1		children
1839163	October 30, 2020	Ohio	Akron	900 block of McKinley Ave	0	1		children
1838373	October 30, 2020	North Carolina	Concord	1080 Ramsgate Dr SW	1	0		children
1839242	October 30, 2020	Michigan	Detroit	15800 block of Kentucky Ave	1	0		children
1837831	October 29, 2020	Tennessee	Memphis	Berta Rd	0	1		children
1838382	October 29, 2020	Alabama	Birmingham	3228 Westbrook Dr	0	1		children
1837957	October 28, 2020	Michigan	Detroit	3900 block of Bedford St	1	0		children
1838147	October 28, 2020	North Carolina	Winston Salem (Winston-salem)	500 block of Dunleith Ave	0	1		children
1836243	October 27, 2020	Mississippi	Jackson	3000 block of Marwood Dr	0	1		children
1836528	October 27, 2020	Michigan	Detroit	1500 block of Fordham St	0	1		children
1837291	October 27, 2020	Mississippi	Roxie	Whiteapple Rd	1	1		children
1834953	October 26, 2020	Michigan	Detroit	10700 block of Wayburn St	0	1		children
1835907	October 26, 2020	Texas	Houston	2525 Old Farm Rd	2	0		children
1835068	October 25, 2020	Nebraska	Valparaiso	NW 98th St and W Davey Rd	1	0		children
1834122	October 25, 2020	Kentucky	Louisville	2000 block of W Main St	1	0		children
1834176	October 25, 2020	Florida	Miami (Goulds)	11341 SW 216th St	0	3		children
1834097	October 24, 2020	Texas	Porter	23000 block of Owens Rd	1	0		children
1833343	October 24, 2020	Illinois	Chicago	1323 E 89th St	0	1		children
1834164	October 24, 2020	Minnesota	Saint Cloud	1634 16th St SE	0	1		children
1832659	October 23, 2020	Texas	Dallas	2600 block of Tanner St	0	1		children
1833316	October 23, 2020	Georgia	Savannah	White Bluff Rd	0	3		children
1835074	October 23, 2020	Washington	Bellingham	10 Sunflower Cir	3	0		children
1833368	October 23, 2020	Missouri	Saint Louis (Ferguson)	6100 block of Bermuda Rd	0	1		children
1832904	October 23, 2020	Pennsylvania	Philadelphia	2000 block of S 68th St	0	1		children
1832062	October 22, 2020	Indiana	East Chicago	4522 Magoun Ave	1	0		children
1832014	October 22, 2020	Florida	Miami	1830 NW 50 St	1	3		children
1832871	October 22, 2020	Michigan	Flint	1600 block of Oklahoma Ave	1	0		children
1831662	October 22, 2020	California	Merced	26th St and Hawthorne Ave	1	0		children
1830617	October 21, 2020	Tennessee	Memphis	1154 Meadowlark Ln	0	1		children
1830600	October 20, 2020	Michigan	Lansing	936 Mall Dr E	0	1		children
1830214	October 20, 2020	New Jersey	Trenton	200 block of Mulberry St	2	0		children
1828871	October 19, 2020	Ohio	Columbus	94 E Russell St	0	3		children
1828100	October 18, 2020	Florida	Jacksonville	6400 block of Macy Dr	1	1		children
1828040	October 18, 2020	Louisiana	Shreveport	W 74th St and Bernstein Ave	1	1		children
1828810	October 17, 2020	Alabama	Mobile	100 block of Henley Ave	0	1		children
1830533	October 17, 2020	South Carolina	Orangeburg	Henley St	0	1		children
1830971	October 17, 2020	New Jersey	Penns Grove	99 Regional Dr	0	1		children
1827998	October 17, 2020	Arkansas	Helena	409 N 2nd St	1	0		children
1828133	October 16, 2020	North Carolina	Goldsboro	1900 block of Day Cir	0	1		children
1826655	October 16, 2020	Arizona	Mesa	2115 Guadalupe Rd	1	6		children
1825333	October 15, 2020	Louisiana	Baton Rouge	3637 Osceola St	1	2		children
1825036	October 15, 2020	Illinois	Rockford	800 block of N Court St	1	0		children
1825873	October 15, 2020	Maryland	Bel Air	608 High Plain Dr	2	0		children
1824964	October 15, 2020	Missouri	Saint Louis	8700 block of Lucas and Hunt Rd	1	2		children
1824210	October 14, 2020	Missouri	Saint Louis	1300 block of N Garrison Ave	0	1		children
1824115	October 14, 2020	Kentucky	Vicco	601 Montgomery Creek Rd	1	1		children
1824291	October 14, 2020	Ohio	Republic	5508 N TR 175	1	0		children
